NTA code,Boro name,Total pop,65+ pop,65+ %pop,65+ poverty %pop,% Hispanic,% White,%Black,% Asian,% Other,NTA name,rate,Towers
BK34,Brooklyn,66348,6471,9.8,32.3,30.9,14.6,1.4,51.6,1.5,Sunset Park East,1.63,
BK35,Brooklyn,69260,8260,11.9,20.9,17.2,12.7,64.0,3.3,2.8,Stuyvesant Heights,4.43,2.0
BK37,Brooklyn,74731,7528,10.1,9.5,15.8,66.9,4.5,7.6,5.2,Park Slope-Gowanus,0.7,25.0
HBK38,Brooklyn,45607,3994,8.8,23.3,19.1,44.5,20.3,11.8,4.4,,,
BK40,Brooklyn,22832,2965,13.0,15.6,13.8,68.7,3.9,10.1,3.5,Windsor Terrace,0.83,4.0
BK41,Brooklyn,35510,4661,13.1,21.9,16.8,47.8,5.7,24.3,5.3,Kensington-Ocean Parkway,0.67,3.0
BK42,Brooklyn,106883,12346,11.6,23.1,18.7,24.0,44.0,10.1,3.2,Flatbush,1.44,19.0
BK43,Brooklyn,54637,8741,16.0,24.5,7.6,73.6,4.6,11.8,2.4,Midwood,1.39,10.0
BK44,Brooklyn,40958,7386,18.0,19.1,8.9,62.7,2.7,22.5,3.3,Madison,0.36,6.0
BK45,Brooklyn,47726,8376,17.6,6.2,10.2,66.2,12.9,9.0,1.7,Georgetown-Marine Park-Bergen Beach-Mill Basin,1.07,16.0
BK46,Brooklyn,20684,3282,15.9,16.9,8.0,83.5,1.2,4.1,3.1,Ocean Parkway South,0.0,1.0
BK50,Brooklyn,88522,11725,13.2,11.7,7.1,4.7,83.7,2.9,1.6,Canarsie,1.43,3.0
BK58,Brooklyn,72186,10917,15.1,7.1,9.4,16.0,67.7,4.9,2.1,Flatlands,2.4,1.0
BK60,Brooklyn,69111,10130,14.7,21.3,9.6,17.0,68.4,2.3,2.7,Prospect Lefferts Gardens-Wingate,1.11,20.0
BK61,Brooklyn,109987,12314,11.2,27.4,12.4,16.8,64.8,3.0,3.0,Crown Heights North,3.64,18.0
BK63,Brooklyn,40451,4988,12.3,12.2,6.2,32.8,57.2,1.2,2.7,Crown Heights South,3.16,2.0
BK64,Brooklyn,21237,2482,11.7,12.9,10.1,50.8,24.6,7.9,6.6,Prospect Heights,6.71,22.0
BK68,Brooklyn,32193,3796,11.8,22.0,17.2,31.2,36.5,9.2,5.9,Fort Greene,4.11,55.0
BK69,Brooklyn,38930,3766,9.7,17.8,11.4,44.8,33.5,6.4,3.9,Clinton Hill,6.53,14.0
BK72,Brooklyn,34373,2966,8.6,27.4,8.9,85.7,4.4,0.5,0.3,Williamsburg,0.66,3.0
BK73,Brooklyn,57036,4227,7.4,32.5,32.5,54.3,3.0,7.0,3.2,North Side-South Side,0.51,75.0
BK75,Brooklyn,77847,6540,8.4,27.3,20.6,37.8,36.6,3.2,1.9,Bedford,2.99,7.0
BK76,Brooklyn,33918,3701,10.9,21.9,14.2,74.3,3.0,4.9,3.6,Greenpoint,2.21,18.0
BK77,Brooklyn,57051,4140,7.3,31.4,62.1,19.1,10.0,6.5,2.3,Bushwick North,2.27,6.0
BK78,Brooklyn,72925,7738,10.6,39.8,50.0,18.8,24.9,4.1,2.2,Bushwick South,2.65,14.0
BK79,Brooklyn,35818,4023,11.2,28.3,21.0,5.7,70.8,1.4,1.0,Ocean Hill,6.19,1.0
BK81,Brooklyn,52174,6473,12.4,32.8,23.0,1.0,72.9,1.6,1.5,Brownsville,6.91,6.0
BK82,Brooklyn,96755,10320,10.7,25.3,28.9,1.9,64.8,2.4,1.9,East New York,3.7,20.0
BK83,Brooklyn,49063,4220,8.6,21.5,60.8,3.2,25.2,8.0,2.8,Cypress Hills-City Line,1.96,23.0
BK85,Brooklyn,29063,2950,10.2,25.5,23.1,1.7,72.3,0.9,2.1,East New York (Pennsylvania Ave),6.58,5.0
BK88,Brooklyn,102494,11183,10.9,21.1,8.6,76.7,1.0,12.9,0.8,Borough Park,1.04,14.0
BK90,Brooklyn,36038,4537,12.6,29.7,29.4,44.3,8.4,15.0,2.9,East Williamsburg,0.78,19.0
BK91,Brooklyn,51922,8788,16.9,11.5,6.4,2.1,87.9,1.8,1.7,East Flatbush-Farragut,0.64,20.0
BK93,Brooklyn,12956,3769,29.1,42.8,18.4,19.2,58.8,2.1,1.5,Starrett City,6.68,4.0
BK95,Brooklyn,28689,3903,13.6,18.4,8.7,6.4,81.4,1.4,2.1,Erasmus,4.77,4.0
BK96,Brooklyn,54666,8775,16.1,13.6,8.0,1.4,88.1,0.8,1.6,Rugby-Remsen Village,3.57,10.0
park-cemetery-etc-Brooklyn,BK99,318,432,8.0,1.9,23.8,51.2,11.8,7.6,5.6,,,
MN01,Manhattan,52922,7057,13.3,24.8,71.5,16.8,7.4,2.6,1.8,Marble Hill-Inwood,4.27,27.0
MN03,Manhattan,86117,9137,10.6,26.3,25.8,10.1,58.7,2.1,3.3,Central Harlem North-Polo Grounds,12.21,54.0
MN04,Manhattan,52700,5565,10.6,26.1,48.3,18.2,25.8,3.4,4.2,Hamilton Heights,7.22,12.0
MN06,Manhattan,23673,2719,11.5,35.2,52.5,11.1,29.2,5.4,1.7,Manhattanville,7.11,153.0
MN09,Manhattan,53094,7812,14.7,17.0,23.2,44.4,13.8,15.5,3.1,Morningside Heights,4.87,192.0
MN11,Manhattan,51064,5149,10.1,36.2,20.5,21.0,49.6,5.7,3.2,Central Harlem South,4.36,69.0
MN12,Manhattan,132455,26884,20.3,11.7,16.6,67.3,5.9,7.3,2.8,Upper West Side,1.39,162.0
