NTA name,NTA code,Boro name,Total pop,65+ pop,65+ %pop,65+ poverty %pop,% Hispanic,% White,%Black,% Asian,% Other
Kensington-Ocean Parkway,BK41,Brooklyn,35510,4661,13.1,21.9,16.8,47.8,5.7,24.3,5.3
Flatbush,BK42,Brooklyn,106883,12346,11.6,23.1,18.7,24,44,10.1,3.2
Midwood,BK43,Brooklyn,54637,8741,16,24.5,7.6,73.6,4.6,11.8,2.4
Madison,BK44,Brooklyn,40958,7386,18,19.1,8.9,62.7,2.7,22.5,3.3
Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,Brooklyn,47726,8376,17.6,6.2,10.2,66.2,12.9,9,1.7
Ocean Parkway South,BK46,Brooklyn,20684,3282,15.9,16.9,8,83.5,1.2,4.1,3.1
Canarsie,BK50,Brooklyn,88522,11725,13.2,11.7,7.1,4.7,83.7,2.9,1.6
Flatlands,BK58,Brooklyn,72186,10917,15.1,7.1,9.4,16,67.7,4.9,2.1
Prospect Lefferts Gardens-Wingate,BK60,Brooklyn,69111,10130,14.7,21.3,9.6,17,68.4,2.3,2.7
Crown Heights North,BK61,Brooklyn,109987,12314,11.2,27.4,12.4,16.8,64.8,3,3.0
Crown Heights South,BK63,Brooklyn,40451,4988,12.3,12.2,6.2,32.8,57.2,1.2,2.7
Prospect Heights,BK64,Brooklyn,21237,2482,11.7,12.9,10.1,50.8,24.6,7.9,6.6
Fort Greene,BK68,Brooklyn,32193,3796,11.8,22,17.2,31.2,36.5,9.2,5.9
Clinton Hill,BK69,Brooklyn,38930,3766,9.7,17.8,11.4,44.8,33.5,6.4,3.9
Williamsburg,BK72,Brooklyn,34373,2966,8.6,27.4,8.9,85.7,4.4,0.5,0.3
North Side-South Side,BK73,Brooklyn,57036,4227,7.4,32.5,32.5,54.3,3,7,3.2
Bedford,BK75,Brooklyn,77847,6540,8.4,27.3,20.6,37.8,36.6,3.2,1.9
Greenpoint,BK76,Brooklyn,33918,3701,10.9,21.9,14.2,74.3,3,4.9,3.6
Bushwick North,BK77,Brooklyn,57051,4140,7.3,31.4,62.1,19.1,10,6.5,2.3
Bushwick South,BK78,Brooklyn,72925,7738,10.6,39.8,50,18.8,24.9,4.1,2.2
Ocean Hill,BK79,Brooklyn,35818,4023,11.2,28.3,21,5.7,70.8,1.4,1.0
Brownsville,BK81,Brooklyn,52174,6473,12.4,32.8,23,1,72.9,1.6,1.5
East New York,BK82,Brooklyn,96755,10320,10.7,25.3,28.9,1.9,64.8,2.4,1.9
Cypress Hills-City Line,BK83,Brooklyn,49063,4220,8.6,21.5,60.8,3.2,25.2,8,2.8
East New York (Pennsylvania Ave),BK85,Brooklyn,29063,2950,10.2,25.5,23.1,1.7,72.3,0.9,2.1
Borough Park,BK88,Brooklyn,102494,11183,10.9,21.1,8.6,76.7,1,12.9,0.8
East Williamsburg,BK90,Brooklyn,36038,4537,12.6,29.7,29.4,44.3,8.4,15,2.9
East Flatbush-Farragut,BK91,Brooklyn,51922,8788,16.9,11.5,6.4,2.1,87.9,1.8,1.7
