id,selected,inside_boundary,meets threshold,latitude (deg),longitude (deg),distance from center (m),address,confidence
77,true,true,true,40.81914041,-73.92630726,25798.0,"558-560 Grand Concourse, Bronx, NY 10451, USA",0.81
78,false,true,true,40.82077702,-73.86432067,20599.8,"759 Beach Ave, Bronx, NY 10473, USA",0.26
79,false,true,true,40.82245532,-73.87348686,21338.0,"1634 Bruckner Blvd, Bronx, NY 10473, USA",0.34
80,true,true,true,40.82175795,-73.92997098,26069.6,"628 Exterior Street, Bronx, NY 10451, USA",0.73
81,true,true,true,40.82267681,-73.91712941,24983.2,"785 Courtlandt Ave, Bronx, NY 10451, USA",0.38
82,true,true,true,40.82187748,-73.92755198,25865.6,"656 Gerard Ave, Bronx, NY 10451, USA",0.69
83,true,true,true,40.82189671,-73.92756406,25866.4,"656 Gerard Ave, Bronx, NY 10451, USA",0.71
84,true,true,true,40.82175777,-73.92993936,26066.9,"628 Exterior Street, Bronx, NY 10451, USA",0.80
85,true,true,true,40.82175034,-73.92997023,26069.6,"628 Exterior Street, Bronx, NY 10451, USA",0.84
86,true,true,true,40.82355073,-73.85915760,20125.5,"860 Bolton Ave, Bronx, NY 10473, USA",0.39
87,true,true,true,40.82380590,-73.91077192,24436.9,"900 Washington Ave, Bronx, NY 10451, USA",0.43
88,true,true,true,40.82374314,-73.91075833,24436.5,"900 Washington Ave, Bronx, NY 10451, USA",0.47
89,true,true,true,40.82378369,-73.91076738,24436.8,"900 Washington Ave, Bronx, NY 10451, USA",0.47
90,true,true,true,40.82381703,-73.91077408,24436.9,"900 Washington Ave, Bronx, NY 10451, USA",0.52
91,true,true,true,40.82305953,-73.89457369,23091.3,"982 C Westchester Ave, Bronx, NY 10459, USA",0.77
92,true,true,true,40.82376027,-73.91076129,24436.6,"900 Washington Ave, Bronx, NY 10451, USA",0.57
93,true,true,true,40.82307521,-73.89454521,23088.7,"982 C Westchester Ave, Bronx, NY 10459, USA",0.79
94,true,true,true,40.82373448,-73.91075659,24436.5,"900 Washington Ave, Bronx, NY 10451, USA",0.62
95,true,true,true,40.82383472,-73.93042963,26082.8,"600 Major Deegan Expy, Bronx, NY 10451, USA",0.84
96,true,true,true,40.82383798,-73.93038738,26079.3,"600 Major Deegan Expy, Bronx, NY 10451, USA",0.85
97,false,true,true,40.82506257,-73.81327609,16277.3,"500 Ellsworth Ave, Bronx, NY 10465, USA",0.27
98,false,true,true,40.82622909,-73.81404070,16321.1,"515 Wilcox Ave, Bronx, NY 10465, USA",0.34
99,true,true,true,40.82673625,-73.91974952,25155.5,"231 E 161st St, Bronx, NY 10451, USA",0.38
100,true,true,true,40.82579596,-73.81571352,16467.6,"543 Ellsworth Ave, Bronx, NY 10465, USA",0.52
101,true,true,true,40.82581351,-73.92107375,25276.4,"198 E 161st St, Bronx, NY 10451, USA",0.78
102,true,true,true,40.82578480,-73.92108986,25278.1,"198 E 161st St, Bronx, NY 10451, USA",0.80
103,true,true,true,40.82621633,-73.92656699,25732.6,"814 River Ave, Bronx, NY 10451, USA",0.70
104,true,true,true,40.82623708,-73.92655124,25731.1,"814 River Ave, Bronx, NY 10451, USA",0.76
105,true,true,true,40.82670568,-73.91975561,25156.3,"231 E 161st St, Bronx, NY 10451, USA",0.68
106,true,true,true,40.82643595,-73.92398278,25513.6,"850 Walton Ave, Bronx, NY 10451, USA",0.81
107,true,true,true,40.82646931,-73.92396653,25511.9,"850 Walton Ave, Bronx, NY 10451, USA",0.84
108,false,true,true,40.82769398,-73.83109304,17721.2,"934 Balcom Ave, Bronx, NY 10465, USA",0.25
109,true,true,true,40.82670420,-73.91973348,25154.4,"231 E 161st St, Bronx, NY 10451, USA",0.81
110,true,true,true,40.82716576,-73.85969300,20119.6,"1036 White Plains Rd, Bronx, NY 10472, USA",0.54
111,true,true,true,40.82673550,-73.91971863,25152.9,"231 E 161st St, Bronx, NY 10451, USA",0.84
112,true,true,true,40.82694973,-73.92026883,25196.7,"217 E 161st St, Bronx, NY 10451, USA",0.78
113,true,true,true,40.82693599,-73.92022690,25193.4,"217 E 161st St, Bronx, NY 10451, USA",0.79
114,true,true,true,40.82676503,-73.91970088,25151.1,"231 E 161st St, Bronx, NY 10451, USA",0.86
115,true,true,true,40.82679616,-73.91968185,25149.1,"231 E 161st St, Bronx, NY 10451, USA",0.85
116,true,true,true,40.82810851,-73.90053297,23529.6,"775 Home St, Bronx, NY 10456, USA",0.35
117,true,true,true,40.82697438,-73.92020446,25191.1,"217 E 161st St, Bronx, NY 10451, USA",0.81
118,true,false,true,40.82813901,-73.93408468,26344.0,"Macombs Dam Bridge, New York, NY 10039, United States",0.41
119,true,true,true,40.82698827,-73.92024573,25194.4,"217 E 161st St, Bronx, NY 10451, USA",0.81
120,false,true,true,40.82830307,-73.86798491,20799.7,"1123 Commonwealth Ave, Bronx, NY 10472, USA",0.27
121,true,false,true,40.82809074,-73.93391627,26330.3,"Macombs Dam Bridge, New York, NY 10039, United States",0.48
122,true,false,true,40.82813131,-73.93415894,26350.3,"Macombs Dam Bridge, New York, NY 10039, United States",0.48
123,true,false,true,40.82814428,-73.93400257,26337.0,"Macombs Dam Bridge, New York, NY 10039, United States",0.52
124,true,true,true,40.82857837,-73.91202220,24488.4,"1055 Webster Ave, Bronx, NY 10456, USA",0.34
125,true,true,true,40.82888626,-73.88913611,22565.7,"1197c Bryant Ave, Bronx, NY 10459, USA",0.39
126,true,true,true,40.82857235,-73.91204775,24490.6,"1055 Webster Ave, Bronx, NY 10456, USA",0.57
127,true,true,true,40.82817285,-73.90050223,23526.3,"1170 Tinton Ave, Bronx, NY 10456, USA",0.68
128,true,true,true,40.83006368,-73.92020105,25160.8,"1030 Grand Concourse, Bronx, NY 10456, USA",0.36
129,true,true,true,40.82993332,-73.84621960,18957.4,"2340 Haviland Ave, Bronx, NY 10462, USA",0.43
130,true,true,true,40.83081856,-73.90349266,23751.3,"1235 Franklin Ave, Bronx, NY 10456, USA",0.41
131,true,true,true,40.83008446,-73.92022696,25162.8,"1030 Grand Concourse, Bronx, NY 10456, USA",0.78
132,true,true,true,40.83007098,-73.92019812,25160.5,"1030 Grand Concourse, Bronx, NY 10456, USA",0.82
133,false,true,true,40.83194403,-73.91817085,24974.3,"1113 Sheridan Ave, Bronx, NY 10456, USA",0.27
134,false,true,true,40.83232794,-73.92793951,25792.0,"990 Woodycrest Ave, Bronx, NY 10452, USA",0.29
135,true,true,true,40.83154107,-73.90262642,23672.1,"1281 Franklin Ave, Bronx, NY 10456, United States",0.80
136,true,true,true,40.83150808,-73.90264964,23674.4,"1275 Franklin Ave, Bronx, NY 10456, USA",0.83
137,true,true,true,40.83327942,-73.87504661,21341.1,"1339 Morrison Ave, Bronx, NY 10472, USA",0.37
138,true,true,true,40.83326108,-73.84297271,18649.1,"1201 Seabury Ave, Bronx, NY 10462, USA",0.40
139,true,true,true,40.83512933,-73.84655201,18932.5,"2337-2365 Waterbury Ave, Bronx, NY 10462, USA",0.46
140,true,true,true,40.83515876,-73.84655598,18932.5,"2337-2365 Waterbury Ave, Bronx, NY 10462, USA",0.63
141,true,true,true,40.83585025,-73.86208744,20231.8,"1409 Wood Rd, Bronx, NY 10462, USA",0.45
