id,selected,inside_boundary,meets threshold,latitude (deg),longitude (deg),distance from center (m),address,confidence
1129,true,true,true,40.68040702,-73.96182259,4836.7,"976 Atlantic Ave, Brooklyn, NY 11238, USA",0.64
1130,true,true,true,40.68038935,-73.96182917,4835.6,"976 Atlantic Ave, Brooklyn, NY 11238, USA",0.52
1131,true,true,true,40.68035888,-73.96176523,4829.5,"976 Atlantic Ave, Brooklyn, NY 11238, USA",0.49
1132,true,true,true,40.68040066,-73.96189416,4840.1,"976 Atlantic Ave, Brooklyn, NY 11238, USA",0.47
1133,true,true,true,40.68039158,-73.96175259,4831.5,"976 Atlantic Ave, Brooklyn, NY 11238, USA",0.37
1134,true,true,true,40.68037580,-73.96176092,4830.7,"976 Atlantic Ave, Brooklyn, NY 11238, USA",0.37
1135,true,true,true,40.68041691,-73.96188796,4841.2,"976 Atlantic Ave, Brooklyn, NY 11238, USA",0.32
1136,false,true,true,40.68191781,-73.96096587,4918.8,"982 Fulton St, Brooklyn, NY 11238, USA",0.25
1137,true,true,true,40.68017824,-73.96193771,4823.9,"984 Atlantic Ave, Brooklyn, NY 11238, USA",0.61
1138,false,true,true,40.68015116,-73.96194591,4822.1,"984 Atlantic Ave, Brooklyn, NY 11238, USA",0.50
1139,false,true,true,40.68016348,-73.96194248,4823.0,"984 Atlantic Ave, Brooklyn, NY 11238, USA",0.39
1140,false,true,true,40.66454793,-73.95941478,3518.4,"985 Franklin Ave, Brooklyn, NY 11225, USA",0.65
1141,false,true,true,40.66450441,-73.95946411,3519.4,"985 Franklin Ave, Brooklyn, NY 11225, USA",0.57
1142,true,true,true,40.69469457,-73.97296492,6662.3,"99 Carlton Ave, Brooklyn, NY 11205, USA",0.66
1143,true,true,true,40.69470994,-73.97296573,6663.7,"99 Carlton Ave, Brooklyn, NY 11205, USA",0.47
1144,true,true,true,40.69869498,-73.97143207,6942.7,"99 Farragut St, Brooklyn, NY 11251, United States",0.82
1145,true,true,true,40.70340601,-73.99017386,8339.9,"99 Water St, Brooklyn, NY 11201, United States",0.84
1146,false,true,true,40.66808733,-73.95732323,3605.5,"991-993 Carroll St, Brooklyn, NY 11225, USA",0.53
1147,true,true,true,40.61327111,-74.03388514,10023.0,"9920-9924 4th Ave, Brooklyn, NY 11209, USA",0.66
1148,true,true,true,40.68206287,-73.96087574,4926.6,"998 Fulton St, Brooklyn, NY 11238, USA",0.77
1149,true,true,true,40.68203787,-73.96088443,4924.9,"998 Fulton St, Brooklyn, NY 11238, USA",0.75
1150,false,true,true,40.64324351,-73.87607183,4096.3,"Belt Pkwy E, Brooklyn, NY 11239, United States",0.27
1151,true,true,true,40.66268831,-74.00910928,7362.2,"Brooklyn, NY 11232, United States",0.66
1152,false,true,true,40.68472814,-74.00703093,8120.6,"Hugh L. Carey Tunnel, Brooklyn, NY 11231, United States",0.32
1153,true,true,true,40.65629173,-73.94533446,2027.0,"Kings county hopital, 441 Clarkson Ave, Brooklyn, NY 11203, USA",0.69
1154,true,true,true,40.65629363,-73.94531129,2025.4,"Kings county hopital, 441 Clarkson Ave, Brooklyn, NY 11203, USA",0.67
1155,false,true,true,40.61202190,-73.84503369,7776.3,"New York, NY 11234, United States",0.60
1156,true,true,true,40.58505077,-73.90124098,7231.9,"New York, NY, United States",0.68
