id,selected,inside_boundary,meets threshold,latitude (deg),longitude (deg),distance from center (m),address,confidence
59,true,true,true,40.70356540,-74.00988506,1902.3,"46 Water St, New York, NY 10004, USA",0.87
60,true,true,true,40.70382085,-74.00894346,1818.6,"55 Old Slip, New York, NY 10004, USA",0.79
61,true,true,true,40.70359624,-74.00977315,1892.3,"50 Water St, New York, NY 10004, United States",0.87
62,true,true,true,40.70379905,-74.00897472,1822.1,"55 Old Slip, New York, NY 10004, USA",0.81
63,true,true,true,40.70378298,-74.00897578,1823.0,"55 Old Slip, New York, NY 10004, USA",0.82
64,true,true,true,40.70368114,-74.00971600,1883.7,"50 Water St, New York, NY 10004, United States",0.86
65,true,true,true,40.70365203,-74.00952892,1871.1,"71 Water St, New York, NY 10004, United States",0.86
66,true,true,true,40.70399075,-74.00772210,1718.7,"81 Front St, New York, NY 10005, USA",0.76
67,true,true,true,40.70371025,-74.00959890,1873.4,"17 Hanover Sq, New York, NY 10004, United States",0.85
68,true,true,true,40.70388466,-74.00901270,1820.6,"55 Old Slip, New York, NY 10004, USA",0.80
69,true,true,true,40.70407875,-74.01099657,1962.0,"87 Broad St, New York, NY 10004, USA",0.74
70,true,true,true,40.70420255,-74.01350557,2151.6,"2002 Broadway, New York, NY 10004, USA",0.71
71,true,true,true,40.70397787,-74.01284073,2109.1,"2 Stone St, New York, NY 10004, USA",0.78
72,true,true,true,40.70400298,-74.00770338,1716.6,"81 Front St, New York, NY 10005, USA",0.77
73,true,true,true,40.70397486,-74.01278521,2105.0,"2 Stone St, New York, NY 10004, USA",0.80
74,true,true,true,40.70388645,-74.01211130,2056.6,"16 Stone St, New York, NY 10004, USA",0.84
75,true,true,true,40.70388525,-74.01204601,2051.7,"20 Stone St, New York, NY 10004, USA",0.84
76,true,true,true,40.70388369,-74.01197528,2046.3,"20 Stone St, New York, NY 10004, USA",0.86
77,true,true,true,40.70411206,-74.01346722,2152.3,"2002 Broadway, New York, NY 10004, USA",0.77
78,true,true,true,40.70405481,-74.01112580,1973.1,"87 Broad St, New York, NY 10004, USA",0.79
79,true,true,true,40.70403859,-74.01121023,1980.3,"85 Broad St, New York, NY 10004, USA",0.80
80,true,true,true,40.70407382,-74.00969267,1862.6,"66 Water St, Brooklyn, NY 11201, USA",0.78
81,true,true,true,40.70397921,-74.01289582,2113.4,"2 Stone St, New York, NY 10004, USA",0.83
82,true,true,true,40.70406241,-74.01107840,1969.1,"87 Broad St, New York, NY 10004, USA",0.80
83,true,true,true,40.70420575,-74.01347661,2149.2,"2002 Broadway, New York, NY 10004, USA",0.76
84,true,true,true,40.70406896,-74.01104392,1966.1,"87 Broad St, New York, NY 10004, USA",0.81
85,true,true,true,40.70404710,-74.01116038,1976.1,"85 Broad St, New York, NY 10004, USA",0.82
86,true,true,true,40.70403352,-74.01124069,1982.9,"85 Broad St, New York, NY 10004, USA",0.83
87,false,true,true,40.70554913,-74.01049212,1860.4,"40-42 Exchange Pl, New York, NY 10005, USA",0.29
88,true,true,true,40.70404575,-74.00973342,1867.0,"66 Water St, Brooklyn, NY 11201, USA",0.82
89,true,true,true,40.70411882,-74.01402644,2195.9,"290 Broadway, New York, NY 10007, USA",0.81
90,true,true,true,40.70408486,-74.01096457,1959.3,"87 Broad St, New York, NY 10004, USA",0.82
91,true,true,true,40.70403163,-74.00760535,1707.9,"1 Financial Square, New York, NY 10005, USA",0.83
92,true,true,true,40.70405022,-74.00763127,1708.8,"1 Financial Square, New York, NY 10005, USA",0.83
93,true,true,true,40.70421139,-74.00942640,1835.7,"150 Hanover Square, New York, NY 10004, USA",0.78
94,true,true,true,40.70528921,-74.01584817,2298.1,"7 Washington St, New York, NY 10004, USA",0.42
95,false,true,true,40.70564451,-74.01253592,2019.7,"73 New St, New York, NY 10004, USA",0.29
96,true,true,true,40.70407825,-74.00785959,1724.3,"81 Front St, New York, NY 10005, USA",0.84
97,true,true,true,40.70409896,-74.00965731,1858.7,"113 Pearl St, New York, NY 10004, USA",0.84
98,true,true,true,40.70548737,-74.00683380,1577.3,"100 Wall St, New York, NY 10005, USA",0.35
99,true,true,true,40.70412892,-74.00960767,1853.4,"113 Pearl St, New York, NY 10004, USA",0.84
100,true,true,true,40.70410155,-74.00782792,1720.7,"81 Front St, New York, NY 10005, USA",0.86
