id,selected,inside_boundary,meets threshold,latitude (deg),longitude (deg),distance from center (m),address,confidence
818,true,true,true,40.71757194,-73.99074345,19496.4,"73A Orchard St, New York, NY 10002, USA",0.43
819,true,true,true,40.71691603,-74.01426898,20886.1,"265 Warren St, New York, NY 10282, USA",0.71
820,true,true,true,40.71695046,-74.00142932,20142.0,"119 Centre St, New York, NY 10013, USA",0.67
821,true,true,true,40.71689243,-74.01420903,20884.5,"265 Warren St, New York, NY 10282, USA",0.73
822,false,true,true,40.71800752,-73.99222775,19540.7,"103 Eldridge St, New York, NY 10002, USA",0.29
823,true,true,true,40.71725249,-73.98736791,19341.0,"202 Broome St, New York, NY 10002, United States",0.55
824,true,true,true,40.71725744,-73.98738793,19341.7,"202 Broome St, New York, NY 10002, United States",0.55
825,false,true,true,40.71801521,-73.99223300,19540.4,"103 Eldridge St, New York, NY 10002, USA",0.30
826,true,true,true,40.71800307,-73.99219879,19539.5,"103 Eldridge St, New York, NY 10002, USA",0.31
827,true,true,true,40.71694646,-74.00932822,20594.8,"35 Hudson St, New York, NY 10013, USA",0.72
828,true,true,true,40.71697336,-74.00932398,20592.4,"35 Hudson St, New York, NY 10013, USA",0.71
829,true,true,true,40.71726490,-73.98741003,19342.2,"202 Broome St, New York, NY 10002, United States",0.57
830,true,true,true,40.71681934,-74.00591307,20408.1,"60 Worth St, New York, NY 10013, USA",0.77
831,true,true,true,40.71679546,-74.01433680,20899.7,"348 North End Ave, New York, NY 10282, USA",0.80
832,true,true,true,40.71672574,-74.01259775,20803.2,"280 Chambers St, New York, NY 10007, USA",0.83
833,true,true,true,40.71675433,-74.01259399,20800.7,"280 Chambers St, New York, NY 10007, USA",0.82
834,true,true,true,40.71793169,-74.00847891,20465.9,"7 Worth St, New York, NY 10013, USA",0.40
835,true,true,true,40.71725291,-74.01504385,20905.0,"360 Warren St, New York, NY 10282, USA",0.66
836,true,true,true,40.71679517,-74.00595391,20412.4,"60 Worth St, New York, NY 10013, USA",0.82
837,true,true,true,40.71680516,-74.00513904,20364.9,"87 Worth St, New York, NY 10013, USA",0.83
838,true,true,true,40.71691835,-74.00145411,20146.1,"111-131 Centre St, New York, NY 10013, USA",0.78
839,true,true,true,40.71724832,-73.98734597,19340.2,"",0.64
840,true,true,true,40.71677201,-74.00577052,20403.8,"60 Worth St, New York, NY 10013, USA",0.86
841,true,true,true,40.71680235,-74.00584241,20405.5,"60 Worth St, New York, NY 10013, USA",0.85
842,false,true,true,40.71825059,-73.98397702,19073.8,"80-82 Attorney St, New York, NY 10002, USA",0.29
843,true,false,true,40.71698699,-73.96672788,18305.7,"47 River St, Brooklyn, NY 11211, USA",0.71
844,true,true,true,40.71705035,-74.00048950,20080.7,"138 Centre St, New York, NY 10013, USA",0.76
845,true,true,true,40.71681197,-74.00602518,20415.2,"60 Worth St, New York, NY 10013, USA",0.86
846,true,true,true,40.71724969,-73.98733931,19339.7,"",0.67
847,true,true,true,40.71677711,-74.00595594,20414.0,"60 Worth St, New York, NY 10013, USA",0.88
848,true,true,true,40.71680972,-74.00584259,20404.9,"60 Worth St, New York, NY 10013, USA",0.87
849,true,true,true,40.71707750,-74.00047270,20077.5,"138 Centre St, New York, NY 10013, USA",0.77
850,true,true,true,40.71708764,-74.00741230,20472.5,"63 Thomas St, New York, NY 10013, USA",0.78
851,true,true,true,40.71725240,-74.01504455,20905.1,"360 Warren St, New York, NY 10282, USA",0.75
852,true,true,true,40.71708378,-73.99507155,19775.3,"128 Hester St, New York, NY 10013, USA",0.77
853,true,true,true,40.71709491,-73.99509810,19775.9,"91 Bowery, New York, NY 10002, USA",0.77
854,true,true,true,40.71822939,-74.01341879,20731.4,"195 West St, New York, NY 10282, USA",0.41
855,true,true,true,40.71683909,-74.00590994,20406.3,"60 Worth St, New York, NY 10013, USA",0.89
856,true,true,true,40.71705147,-74.00696194,20449.5,"44 Worth St, New York, NY 10013, USA",0.82
857,true,true,true,40.71707007,-74.00699998,20450.2,"44 Worth St, New York, NY 10013, USA",0.81
858,true,true,true,40.71697062,-74.00702040,20459.5,"49 Thomas St, New York, NY 10013, USA",0.85
859,true,true,true,40.71829620,-73.97676682,18692.1,"126 Baruch Pl, New York, NY 10002, USA",0.31
860,true,true,true,40.71786481,-73.98713150,19275.8,"",0.50
861,true,true,true,40.71698895,-74.00705784,20460.1,"49 Thomas St, New York, NY 10013, USA",0.85
862,true,true,true,40.71695183,-74.00698207,20458.8,"49 Thomas St, New York, NY 10013, USA",0.87
863,true,true,true,40.71710925,-74.00739487,20469.8,"63 Thomas St, New York, NY 10013, USA",0.82
864,true,true,true,40.71703323,-74.00692381,20448.8,"44 Worth St, New York, NY 10013, USA",0.85
865,true,true,true,40.71832081,-73.98811975,19290.1,"115 Delancey St, New York, NY 10002, USA",0.37
866,true,true,true,40.71785072,-73.98708878,19274.7,"",0.54
867,false,true,true,40.71873525,-74.00184479,20018.6,"38 Cortlandt Alley, New York, NY 10013, USA",0.26
868,false,true,true,40.71875585,-74.00182859,20016.0,"410 Broadway, New York, NY 10013, USA",0.25
869,true,true,true,40.71734121,-74.00411755,20262.7,"357 Broadway, New York, NY 10013, USA",0.77
870,true,true,true,40.71726899,-74.01508328,20906.1,"360 Warren St, New York, NY 10282, USA",0.81
871,true,true,true,40.71787038,-73.98715354,19276.5,"",0.54
872,true,true,true,40.71785786,-73.98710721,19275.1,"",0.55
873,true,true,true,40.71720464,-73.98573485,19257.7,"171 Delancey St, New York, NY 10002, USA",0.79
874,true,true,true,40.71798416,-74.01379413,20773.1,"",0.57
875,true,true,true,40.71736298,-74.00409484,20259.6,"67 Franklin St, New York, NY 10013, USA",0.79
876,true,true,true,40.71764166,-74.01449163,20841.5,"455 North End Ave, New York, NY 10282, USA",0.71
877,true,true,true,40.71790330,-74.00849095,20468.9,"70 Hudson St, New York, NY 10013, USA",0.62
878,true,true,true,40.71787345,-74.00851123,20472.5,"70 Hudson St, New York, NY 10013, USA",0.63
879,true,true,true,40.71722899,-73.98572220,19255.0,"171 Delancey St, New York, NY 10002, USA",0.82
880,true,true,true,40.71790340,-74.00848895,20468.8,"70 Hudson St, New York, NY 10013, USA",0.64
881,true,true,true,40.71763857,-74.01453891,20844.5,"455 North End Ave, New York, NY 10282, USA",0.76
882,true,true,true,40.71765586,-74.01452757,20842.5,"455 North End Ave, New York, NY 10282, USA",0.75
883,true,true,true,40.71762504,-74.01450394,20843.5,"455 North End Ave, New York, NY 10282, USA",0.77
884,true,true,true,40.71874953,-74.00183630,20017.0,"410 Broadway, New York, NY 10013, USA",0.35
885,true,true,true,40.71784665,-73.98706564,19273.8,"",0.64
886,true,true,true,40.71760984,-73.98619060,19247.2,"155 Delancey St, New York, NY 10002, USA",0.74
